"SuperLuminate","Leisure","Glossary","Boating","ABAFT",1,,"Toward the rear (stern) of the boat. Behind.",,
"SuperLuminate","Leisure","Glossary","Boating","ABEAM",1,,"At right angles to the keel of the boat, but not on the boat.",,
"SuperLuminate","Leisure","Glossary","Boating","ABOARD",1,,"On or within the boat.",,
"SuperLuminate","Leisure","Glossary","Boating","ABOVE DECK",1,,"On the deck (not over it (see ALOFT)",,
"SuperLuminate","Leisure","Glossary","Boating","ABREAST",1,,"Side by side; by the side of.",,
"SuperLuminate","Leisure","Glossary","Boating","ADRIFT",1,,"Loose, not on moorings or towline.",,
"SuperLuminate","Leisure","Glossary","Boating","AFT",1,,"Toward the stern of the boat.",,
"SuperLuminate","Leisure","Glossary","Boating","AGROUND",1,,"Touching or fast to the bottom.",,
"SuperLuminate","Leisure","Glossary","Boating","AHEAD",1,,"In a forward direction.",,
"SuperLuminate","Leisure","Glossary","Boating","AIDS TO NAVIGATION",1,,"Artificial objects to supplement natural landmarks indicating safe and unsafe waters.",,
"SuperLuminate","Leisure","Glossary","Boating","ALEE",1,,"Away from the direction of the wind. Opposite of windward.",,
"SuperLuminate","Leisure","Glossary","Boating","ALOFT",1,,"Above the deck of the boat.",,
"SuperLuminate","Leisure","Glossary","Boating","AMIDSHIPS",1,,"In or toward the center of the boat.",,
"SuperLuminate","Leisure","Glossary","Boating","ANCHORAGE",1,,"A place suitable for anchoring in relation to the wind, seas and bottom.",,
"SuperLuminate","Leisure","Glossary","Boating","ASTERN",1,,"In back of the boat, opposite of ahead.",,
"SuperLuminate","Leisure","Glossary","Boating","AT ANCHOR",1,,"Held in place in the water by an anchor, includes ”moored” to a buoy or anchored vessel and ”dragging anchor.”",,
"SuperLuminate","Leisure","Glossary","Boating","ATHWARTSHIPS",1,,"At right angles to the centerline of the boat; rowboat seats are generally athwart ships.",,
"SuperLuminate","Leisure","Glossary","Boating","AWEIGH",1,,"The position of anchor as it is raised clear of the bottom.",,
"SuperLuminate","Leisure","Glossary","Boating","BATTEN DOWN",1,,"Secure hatches and loose objects both within the hull and on deck.",,
